Species,Colony,"Proportion of fragments bleached, %",Mean,mor_norm,mig_norm,combined,CombinedInverted,Ranking,Heat tolerance
A. digitifera,D02,0,-41.23445162374277,1,1,2,2,1,High
A. digitifera,D29,0,-39.62029857582347,1,0.977135802748875,1.977135802748875,1.977135802748875,2,High
A. digitifera,D15,0,-39.12485032780235,1,0.9701178644653391,1.970117864465339,1.970117864465339,3,High
A. digitifera,D40,0,-38.62713472642515,1,0.9630678095157668,1.9630678095157668,1.9630678095157668,4,High
A. digitifera,D13,0,-38.04478619631702,1,0.9548189438468897,1.9548189438468897,1.9548189438468897,5,High
A. digitifera,D35,0,-38.020170328385134,1,0.9544702643578984,1.9544702643578984,1.9544702643578984,6,High
A. digitifera,D08,0,-37.8387046822042,1,0.9518998350334102,1.9518998350334102,1.9518998350334102,7,High
A. digitifera,D06,0,-35.49980252499203,1,0.9187696926701971,1.9187696926701971,1.9187696926701971,8,High
A. digitifera,D20,0,-35.20440695812124,1,0.9145854658295343,1.9145854658295343,1.9145854658295343,9,Intermediate
A. digitifera,D24,0,-33.59256477121302,1,0.8917540015228135,1.8917540015228136,1.8917540015228136,10,Intermediate
A. digitifera,D14,0,-33.543334620604895,1,0.8910566649997015,1.8910566649997014,1.8910566649997014,11,Intermediate
A. digitifera,D32,0,-33.181923541808594,1,0.8859373399115431,1.885937339911543,1.885937339911543,12,Intermediate
A. digitifera,D33,0,-33.00448351157403,1,0.883423932736952,1.883423932736952,1.883423932736952,13,Intermediate
A. digitifera,D36,0,-32.96835253964499,1,0.8829121438021137,1.8829121438021137,1.8829121438021137,14,Intermediate
A. digitifera,D28,0,-31.996840401352507,1,0.8691508432919703,1.8691508432919703,1.8691508432919703,15,Intermediate
A. digitifera,D16,0,-29.955430082422986,1,0.8402346210894645,1.8402346210894645,1.8402346210894645,16,Intermediate
A. digitifera,D26,0,-29.479803858087955,1,0.8334974583247428,1.8334974583247428,1.8334974583247428,17,Intermediate
A. digitifera,D30,0,-27.92493935047164,1,0.8114730729377816,1.8114730729377815,1.8114730729377817,18,Intermediate
A. digitifera,D31,0,-27.11885557915762,1,0.8000550364808224,1.8000550364808223,1.8000550364808223,19,Intermediate
A. digitifera,D25,0,-26.345941462694253,1,0.7891068424172066,1.7891068424172065,1.7891068424172065,20,Intermediate
A. digitifera,D38,12.5,-33.35274460096753,0.875,0.8883569905117701,1.76335699051177,1.76335699051177,21,Intermediate
A. digitifera,D09,0,-24.402907792045202,1,0.7615841083316354,1.7615841083316353,1.7615841083316355,22,Intermediate
A. digitifera,D37,0,-24.003912283297527,1,0.7559324063284831,1.7559324063284831,1.7559324063284831,23,Intermediate
A. digitifera,D39,0,-23.511047854839653,1,0.7489510673997801,1.7489510673997801,1.7489510673997801,24,Intermediate
A. digitifera,D22,12.5,-31.97686729903836,0.875,0.8688679277706595,1.7438679277706595,1.7438679277706595,25,Intermediate
A. digitifera,D04,0,-22.294272047413777,1,0.7317156496633741,1.731715649663374,1.731715649663374,26,Intermediate
A. digitifera,D34,0,-21.0001636649167,1,0.7133848294478509,1.7133848294478509,1.7133848294478509,27,Intermediate
A. digitifera,D21,0,-15.877486921736224,1,0.6408230041235374,1.6408230041235374,1.6408230041235374,28,Intermediate
A. digitifera,D18,0,-13.335734831780323,1,0.6048195277350231,1.6048195277350232,1.6048195277350232,29,Intermediate
A. digitifera,D03,12.5,-12.76257379535057,0.875,0.5967008013165576,1.4717008013165576,1.4717008013165576,30,Intermediate
A. digitifera,D11,25,-16.444315699934705,0.75,0.6488520352052246,1.3988520352052247,1.3988520352052247,31,Intermediate
A. digitifera,D17,12.5,-3.994692626632704,0.875,0.47250528914105316,1.3475052891410533,1.3475052891410533,32,Intermediate
A. digitifera,D12,25,2.7239598061878,0.75,0.3773367456849196,1.1273367456849197,1.1273367456849197,33,Low
A. digitifera,D05,37.5,-4.842886991520078,0.625,0.4845198148336919,1.1095198148336918,1.1095198148336918,34,Low
A. digitifera,D10,37.5,-0.09404583378595188,0.625,0.4172533055738328,1.0422533055738328,1.0422533055738328,35,Low
A. digitifera,D27,50,-0.9822317573285702,0.5,0.4298343047409986,0.9298343047409986,0.9298343047409987,36,Low
A. digitifera,D01,25,16.691999296357764,0.75,0.17948189510155932,0.9294818951015593,0.9294818951015593,37,Low
A. digitifera,D23,50,6.692529814186162,0.5,0.3211226415857218,0.8211226415857218,0.8211226415857218,38,Low
A. digitifera,D19,62.5,17.5516895347324,0.375,0.1673045323599025,0.5423045323599025,0.5423045323599025,39,Low
A. digitifera,D07,100,29.362955763471874,0,0,0,0,40,Low
A. millepora,M04,0,-23.431457642390814,1,1,2,2,1,High
A. millepora,M09,0,-10.59673092654786,1,0.9072745370038264,1.9072745370038264,1.9072745370038264,2,High
A. millepora,M21,0,-9.821037383756588,1,0.9016704797853989,1.901670479785399,1.901670479785399,3,High
A. millepora,M03,0,-7.728062756308429,1,0.886549624806086,1.886549624806086,1.886549624806086,4,High
A. millepora,M24,0,-5.46048805625585,1,0.8701673582728032,1.8701673582728033,1.8701673582728033,5,High
A. millepora,M17,0,-5.243593078005386,1,0.8686003839440867,1.8686003839440866,1.8686003839440866,6,High
A. millepora,M16,0,-3.848248855789093,1,0.8585196130863533,1.8585196130863533,1.8585196130863533,7,Intermediate
A. millepora,M01,0,2.021087029826906,1,0.816116147899829,1.816116147899829,1.816116147899829,8,Intermediate
A. millepora,M26,0,5.25569359197039,1,0.7927474858530565,1.7927474858530565,1.7927474858530565,9,Intermediate
A. millepora,M18,0,6.345985704665443,1,0.784870587249058,1.784870587249058,1.784870587249058,10,Intermediate
A. millepora,M19,0,7.36664250953616,1,0.7774967742425832,1.7774967742425831,1.7774967742425831,11,Intermediate
A. millepora,M29,0,7.385787224987857,1,0.7773584617842434,1.7773584617842433,1.7773584617842433,12,Intermediate
A. millepora,M15,0,14.5301282442029,1,0.7257436246727108,1.725743624672711,1.725743624672711,13,Intermediate
A. millepora,M14,0,18.474588038197343,1,0.6972465737603257,1.6972465737603257,1.6972465737603257,14,Intermediate
A. millepora,M30,12.5,-2.867328806011789,0.8333333333333334,0.8514328813006616,1.684766214633995,1.684766214633995,15,Intermediate
A. millepora,M22,12.5,-1.197527277780225,0.8333333333333334,0.8393692726828118,1.6727026060161452,1.6727026060161452,16,Intermediate
A. millepora,M13,12.5,1.234548915469274,0.8333333333333334,0.8217985525534414,1.6551318858867747,1.6551318858867747,17,Intermediate
A. millepora,M07,12.5,1.3068374512609082,0.8333333333333334,0.8212762985079134,1.6546096318412467,1.6546096318412467,18,Intermediate
A. millepora,M02,12.5,7.827350598424404,0.8333333333333334,0.7741683534827152,1.6075016868160485,1.6075016868160485,19,Intermediate
A. millepora,M08,0,31.80965586127353,1,0.6009063582375593,1.6009063582375593,1.6009063582375593,20,Intermediate
A. millepora,M28,12.5,11.498390948858455,0.8333333333333334,0.7476466422139081,1.5809799755472413,1.5809799755472413,21,Intermediate
A. millepora,M25,25,4.576150709156275,0.6666666666666667,0.7976568952880789,1.4643235619547457,1.4643235619547457,22,Intermediate
A. millepora,M20,37.5,33.583829650390385,0.5,0.5880887042528846,1.0880887042528846,1.0880887042528846,23,Intermediate
A. millepora,M23,37.5,34.691540721821106,0.5,0.5800859610516902,1.0800859610516902,1.0800859610516902,24,Intermediate
A. millepora,M06,37.5,35.963746739316875,0.5,0.5708948115546622,1.0708948115546622,1.0708948115546622,25,Low
A. millepora,M05,37.5,49.99047024310992,0.5,0.4695576767637014,0.9695576767637014,0.9695576767637015,26,Low
A. millepora,M10,50,34.96699730083957,0.33333333333333337,0.5780959039674749,0.9114292373008083,0.9114292373008084,27,Low
A. millepora,M12,50,60.33834159358674,0.33333333333333337,0.3947986902078443,0.7281320235411777,0.7281320235411777,28,Low
A. millepora,M11,62.5,105.10431273922624,0.16666666666666663,0.07138351411150268,0.2380501807781693,0.2380501807781692,29,Low
A. millepora,M27,75,114.98496327505008,0,0,0,0,30,Low
A. tenuis,T05,0,-14.780712313480873,1,1,2,2,1,High
A. tenuis,T13,0,-13.561948001939784,1,0.9776377301504356,1.9776377301504358,1.9776377301504355,2,High
A. tenuis,T29,0,-12.422749866929912,1,0.956735365463535,1.956735365463535,1.956735365463535,3,High
A. tenuis,T21,0,-12.192237980122814,1,0.9525058610651049,1.952505861065105,1.952505861065105,4,High
A. tenuis,T18,0,-11.306199305129054,1,0.93624854555321,1.9362485455532101,1.9362485455532101,5,High
A. tenuis,T28,0,-9.187936020454575,1,0.8973819864197066,1.8973819864197066,1.8973819864197066,6,Intermediate
A. tenuis,T03,0,-9.082741230304563,1,0.8954518394160351,1.8954518394160351,1.8954518394160351,7,Intermediate
A. tenuis,T14,0,-8.850523444206797,1,0.8911910346423702,1.8911910346423702,1.8911910346423702,8,Intermediate
A. tenuis,T30,0,-8.001417117932327,1,0.8756113654484862,1.8756113654484863,1.8756113654484863,9,Intermediate
A. tenuis,T19,0,-4.2683514828209095,1,0.807115906311732,1.807115906311732,1.8071159063117321,10,Intermediate
A. tenuis,T20,0,-3.2739313557550145,1,0.7888699739237324,1.7888699739237324,1.7888699739237324,11,Intermediate
A. tenuis,T17,12.5,-4.253735200678976,0.875,0.8068477221826431,1.6818477221826431,1.6818477221826431,12,Intermediate
A. tenuis,T26,12.5,-3.801558453622467,0.875,0.7985510414039043,1.6735510414039043,1.6735510414039043,13,Intermediate
A. tenuis,T22,0,4.6843263668539405,1,0.6428493651480042,1.6428493651480043,1.6428493651480043,14,Intermediate
A. tenuis,T27,37.5,-11.413770043998795,0.625,0.9382222872091996,1.5632222872091996,1.5632222872091996,15,Intermediate
A. tenuis,T10,12.5,3.0727059736720914,0.875,0.6724198816015281,1.547419881601528,1.547419881601528,16,Intermediate
A. tenuis,T16,25,-1.706642340329939,0.75,0.7601128634936802,1.5101128634936802,1.5101128634936802,17,Intermediate
A. tenuis,T12,50,-7.136201294397984,0.5,0.8597361141461873,1.3597361141461874,1.3597361141461874,18,Intermediate
A. tenuis,T02,37.5,0.7368242348781278,0.625,0.7152793723865265,1.3402793723865265,1.3402793723865265,19,Intermediate
A. tenuis,T06,50,0.4527639276357842,0.5,0.720491399998388,1.220491399998388,1.220491399998388,20,Intermediate
A. tenuis,T11,37.5,16.098695270166072,0.625,0.43341494443085593,1.058414944430856,1.058414944430856,21,Low
A. tenuis,T15,87.5,30.48351496786792,0.125,0.16947776086614585,0.29447776086614585,0.29447776086614574,22,Low
A. tenuis,T01,100,35.12746535853572,0,0.08426910253844255,0.08426910253844255,0.08426910253844255,23,Low
A. tenuis,T23,100,36.45588753463405,0,0.05989479579615431,0.05989479579615431,0.0598947957961542,24,Low
A. tenuis,T04,100,39.720209092976035,0,0,0,0,25,Low
