Species,Colony ID,ThermotoleranceParameter,ThermotoleranceMeasure
A. digitifera,D02,mmIOM,0
A. digitifera,D02,mmCC,0
A. digitifera,D02,mmCombined,0
A. digitifera,D29,mmIOM,0
A. digitifera,D29,mmCC,0.010332602058233513
A. digitifera,D29,mmCombined,0.010332602058233513
A. digitifera,D15,mmIOM,0
A. digitifera,D15,mmCC,0.013504091647681132
A. digitifera,D15,mmCombined,0.013504091647681132
A. digitifera,D40,mmIOM,0
A. digitifera,D40,mmCC,0.016690095139626406
A. digitifera,D40,mmCombined,0.016690095139626406
A. digitifera,D13,mmIOM,0
A. digitifera,D13,mmCC,0.020417855421441596
A. digitifera,D13,mmCombined,0.020417855421441596
A. digitifera,D35,mmIOM,0
A. digitifera,D35,mmCC,0.02057542782015934
A. digitifera,D35,mmCombined,0.02057542782015934
A. digitifera,D08,mmIOM,0
A. digitifera,D08,mmCC,0.02173703533417093
A. digitifera,D08,mmCombined,0.02173703533417093
A. digitifera,D06,mmIOM,0
A. digitifera,D06,mmCC,0.036708939810496354
A. digitifera,D06,mmCombined,0.036708939810496354
A. digitifera,D20,mmIOM,0
A. digitifera,D20,mmCC,0.038599841572368655
A. digitifera,D20,mmCombined,0.038599841572368655
A. digitifera,D24,mmIOM,0
A. digitifera,D24,mmCC,0.04891765122459694
A. digitifera,D24,mmCombined,0.04891765122459694
A. digitifera,D14,mmIOM,0
A. digitifera,D14,mmCC,0.04923278587440995
A. digitifera,D14,mmCombined,0.04923278587440995
A. digitifera,D32,mmIOM,0
A. digitifera,D32,mmCC,0.051546269630769186
A. digitifera,D32,mmCombined,0.051546269630769186
A. digitifera,D33,mmIOM,0
A. digitifera,D33,mmCC,0.052682108158582895
A. digitifera,D33,mmCombined,0.052682108158582895
A. digitifera,D36,mmIOM,0
A. digitifera,D36,mmCC,0.05291339165143459
A. digitifera,D36,mmCombined,0.05291339165143459
A. digitifera,D28,mmIOM,0
A. digitifera,D28,mmCC,0.05913228665191759
A. digitifera,D28,mmCombined,0.05913228665191759
A. digitifera,D16,mmIOM,0
A. digitifera,D16,mmCC,0.0721998706026836
A. digitifera,D16,mmCombined,0.0721998706026836
A. digitifera,D26,mmIOM,0
A. digitifera,D26,mmCC,0.07524447440332621
A. digitifera,D26,mmCombined,0.07524447440332621
A. digitifera,D30,mmIOM,0
A. digitifera,D30,mmCC,0.08519755551442651
A. digitifera,D30,mmCombined,0.08519755551442651
A. digitifera,D31,mmIOM,0
A. digitifera,D31,mmCC,0.09035750168268121
A. digitifera,D31,mmCombined,0.09035750168268121
A. digitifera,D25,mmIOM,0
A. digitifera,D25,mmCC,0.09530512049794886
A. digitifera,D25,mmCombined,0.09530512049794886
A. digitifera,D38,mmIOM,0
A. digitifera,D38,mmCC,0.050452800811483144
A. digitifera,D38,mmCombined,0.050452800811483144
A. digitifera,D09,mmIOM,0
A. digitifera,D09,mmCC,0.10774297063269588
A. digitifera,D09,mmCombined,0.10774297063269588
A. digitifera,D37,mmIOM,0
A. digitifera,D37,mmCC,0.11029704183444863
A. digitifera,D37,mmCombined,0.11029704183444863
A. digitifera,D39,mmIOM,0
A. digitifera,D39,mmCC,0.11345199174113711
A. digitifera,D39,mmCombined,0.11345199174113711
A. digitifera,D22,mmIOM,0
A. digitifera,D22,mmCC,0.05926013953324534
A. digitifera,D22,mmCombined,0.05926013953324534
A. digitifera,D04,mmIOM,0
A. digitifera,D04,mmCC,0.121240881542153
A. digitifera,D04,mmCombined,0.121240881542153
A. digitifera,D34,mmIOM,0
A. digitifera,D34,mmCC,0.129524796722193
A. digitifera,D34,mmCombined,0.129524796722193
A. digitifera,D21,mmIOM,0
A. digitifera,D21,mmCC,0.16231634664893682
A. digitifera,D21,mmCombined,0.16231634664893682
A. digitifera,D18,mmIOM,0
A. digitifera,D18,mmCC,0.17858674486802237
A. digitifera,D18,mmCombined,0.17858674486802237
A. digitifera,D03,mmIOM,0
A. digitifera,D03,mmCC,0.18225569367826516
A. digitifera,D03,mmCombined,0.18225569367826516
A. digitifera,D11,mmIOM,0
A. digitifera,D11,mmCC,0.1586879322257635
A. digitifera,D11,mmCombined,0.1586879322257635
A. digitifera,D17,mmIOM,0
A. digitifera,D17,mmCC,0.23838111940974777
A. digitifera,D17,mmCombined,0.23838111940974777
A. digitifera,D12,mmIOM,0
A. digitifera,D12,mmCC,0.2813889135253076
A. digitifera,D12,mmCombined,0.2813889135253076
A. digitifera,D05,mmIOM,0
A. digitifera,D05,mmCC,0.232951612677586
A. digitifera,D05,mmCombined,0.232951612677586
A. digitifera,D10,mmIOM,0
A. digitifera,D10,mmCC,0.26335014643736654
A. digitifera,D10,mmCombined,0.26335014643736654
A. digitifera,D27,mmIOM,0
A. digitifera,D27,mmCC,0.2576646436199477
A. digitifera,D27,mmCombined,0.2576646436199477
A. digitifera,D01,mmIOM,0
A. digitifera,D01,mmCC,0.3708018683697435
A. digitifera,D01,mmCombined,0.3708018683697435
A. digitifera,D23,mmIOM,0
A. digitifera,D23,mmCC,0.3067927342384335
A. digitifera,D23,mmCombined,0.3067927342384335
A. digitifera,D19,mmIOM,0.125
A. digitifera,D19,mmCC,0.37630496309667993
A. digitifera,D19,mmCombined,0.5013049630966799
A. digitifera,D07,mmIOM,0
A. digitifera,D07,mmCC,0.45191186660730587
A. digitifera,D07,mmCombined,0.45191186660730587
A. millepora,M04,mmIOM,0
A. millepora,M04,mmCC,0.11396146882822261
A. millepora,M04,mmCombined,0.11396146882822261
A. millepora,M09,mmIOM,0
A. millepora,M09,mmCC,0.19611980186357528
A. millepora,M09,mmCombined,0.19611980186357528
A. millepora,M21,mmIOM,0
A. millepora,M21,mmCC,0.20108521248999328
A. millepora,M21,mmCombined,0.20108521248999328
A. millepora,M03,mmIOM,0
A. millepora,M03,mmCC,0.21448287262592514
A. millepora,M03,mmCombined,0.21448287262592514
A. millepora,M24,mmIOM,0
A. millepora,M24,mmCC,0.22899819200233965
A. millepora,M24,mmCombined,0.22899819200233965
A. millepora,M17,mmIOM,0
A. millepora,M17,mmCC,0.23038659163493957
A. millepora,M17,mmCombined,0.23038659163493957
A. millepora,M16,mmIOM,0
A. millepora,M16,mmCC,0.2393185430388049
A. millepora,M16,mmCombined,0.2393185430388049
A. millepora,M01,mmIOM,0
A. millepora,M01,mmCC,0.2768896470492665
A. millepora,M01,mmCombined,0.2768896470492665
A. millepora,M26,mmIOM,0
A. millepora,M26,mmCC,0.2975951820446385
A. millepora,M26,mmCombined,0.2975951820446385
A. millepora,M18,mmIOM,0
A. millepora,M18,mmCC,0.30457441771391425
A. millepora,M18,mmCombined,0.30457441771391425
A. millepora,M19,mmIOM,0
A. millepora,M19,mmCC,0.31110790015930656
A. millepora,M19,mmCombined,0.31110790015930656
A. millepora,M29,mmIOM,0
A. millepora,M29,mmCC,0.31123045032673674
A. millepora,M29,mmCombined,0.31123045032673674
A. millepora,M15,mmIOM,0
A. millepora,M15,mmCC,0.3569631847877096
A. millepora,M15,mmCombined,0.3569631847877096
A. millepora,M14,mmIOM,0
A. millepora,M14,mmCC,0.3822126699208467
A. millepora,M14,mmCombined,0.3822126699208467
A. millepora,M30,mmIOM,0.125
A. millepora,M30,mmCC,0.24559766046100748
A. millepora,M30,mmCombined,0.3705976604610075
A. millepora,M22,mmIOM,0.125
A. millepora,M22,mmCC,0.25628648252139835
A. millepora,M22,mmCombined,0.38128648252139835
A. millepora,M13,mmIOM,0.125
A. millepora,M13,mmCC,0.27185481757645613
A. millepora,M13,mmCombined,0.39685481757645613
A. millepora,M07,mmIOM,0.125
A. millepora,M07,mmCC,0.2723175547838543
A. millepora,M07,mmCombined,0.3973175547838543
A. millepora,M02,mmIOM,0.125
A. millepora,M02,mmCC,0.31405700920050167
A. millepora,M02,mmCombined,0.43905700920050167
A. millepora,M08,mmIOM,0
A. millepora,M08,mmCC,0.46757381297541095
A. millepora,M08,mmCombined,0.46757381297541095
A. millepora,M28,mmIOM,0.125
A. millepora,M28,mmCC,0.3375562672972776
A. millepora,M28,mmCombined,0.4625562672972776
A. millepora,M25,mmIOM,0.25
A. millepora,M25,mmCC,0.2932452561199103
A. millepora,M25,mmCombined,0.5432452561199104
A. millepora,M20,mmIOM,0.375
A. millepora,M20,mmCC,0.47893074828506027
A. millepora,M20,mmCombined,0.8539307482850602
A. millepora,M23,mmIOM,0.375
A. millepora,M23,mmCC,0.4860214871163916
A. millepora,M23,mmCombined,0.8610214871163916
A. millepora,M06,mmIOM,0.375
A. millepora,M06,mmCC,0.49416519971651857
A. millepora,M06,mmCombined,0.8691651997165186
A. millepora,M05,mmIOM,0.375
A. millepora,M05,mmCC,0.5839538057798578
A. millepora,M05,mmCombined,0.9589538057798578
A. millepora,M10,mmIOM,0.5
A. millepora,M10,mmCC,0.48778475437223756
A. millepora,M10,mmCombined,0.9877847543722376
A. millepora,M12,mmIOM,0.5
A. millepora,M12,mmCC,0.6501931484197
A. millepora,M12,mmCombined,1.1501931484196999
A. millepora,M11,mmIOM,0.625
A. millepora,M11,mmCC,0.9367514560067643
A. millepora,M11,mmCombined,1.5617514560067645
A. millepora,M27,mmIOM,0.75
A. millepora,M27,mmCC,1
A. millepora,M27,mmCombined,1.75
A. tenuis,T05,mmIOM,0
A. tenuis,T05,mmCC,0.1693370784124369
A. tenuis,T05,mmCombined,0.1693370784124369
A. tenuis,T13,mmIOM,0
A. tenuis,T13,mmCC,0.1771386971314077
A. tenuis,T13,mmCombined,0.1771386971314077
A. tenuis,T29,mmIOM,0
A. tenuis,T29,mmCC,0.18443099262328305
A. tenuis,T29,mmCombined,0.18443099262328305
A. tenuis,T21,mmIOM,0
A. tenuis,T21,mmCC,0.1859065575327819
A. tenuis,T21,mmCombined,0.1859065575327819
A. tenuis,T18,mmIOM,0
A. tenuis,T18,mmCC,0.191578315268962
A. tenuis,T18,mmCombined,0.191578315268962
A. tenuis,T28,mmIOM,0
A. tenuis,T28,mmCC,0.20513785449810842
A. tenuis,T28,mmCombined,0.20513785449810842
A. tenuis,T03,mmIOM,0
A. tenuis,T03,mmCC,0.20581123296529932
A. tenuis,T03,mmCombined,0.20581123296529932
A. tenuis,T14,mmIOM,0
A. tenuis,T14,mmCC,0.20729771776776904
A. tenuis,T14,mmCombined,0.20729771776776904
A. tenuis,T30,mmIOM,0
A. tenuis,T30,mmCC,0.21273306219550592
A. tenuis,T30,mmCombined,0.21273306219550592
A. tenuis,T19,mmIOM,0
A. tenuis,T19,mmCC,0.2366293598325819
A. tenuis,T19,mmCombined,0.2366293598325819
A. tenuis,T20,mmIOM,0
A. tenuis,T20,mmCC,0.242994894665177
A. tenuis,T20,mmCombined,0.242994894665177
A. tenuis,T17,mmIOM,0.125
A. tenuis,T17,mmCC,0.23672292235265283
A. tenuis,T17,mmCombined,0.3617229223526528
A. tenuis,T26,mmIOM,0.125
A. tenuis,T26,mmCC,0.23961742011625956
A. tenuis,T26,mmCombined,0.3646174201162595
A. tenuis,T22,mmIOM,0
A. tenuis,T22,mmCC,0.2939377158744661
A. tenuis,T22,mmCombined,0.2939377158744661
A. tenuis,T27,mmIOM,0.375
A. tenuis,T27,mmCC,0.1908897277528749
A. tenuis,T27,mmCombined,0.5658897277528749
A. tenuis,T10,mmIOM,0.125
A. tenuis,T10,mmCC,0.2836213259799966
A. tenuis,T10,mmCombined,0.4086213259799966
A. tenuis,T16,mmIOM,0.25
A. tenuis,T16,mmCC,0.2530275081942986
A. tenuis,T16,mmCombined,0.5030275081942985
A. tenuis,T12,mmIOM,0.5
A. tenuis,T12,mmCC,0.2182715275910835
A. tenuis,T12,mmCombined,0.7182715275910835
A. tenuis,T02,mmIOM,0.375
A. tenuis,T02,mmCC,0.2686687559661653
A. tenuis,T02,mmCombined,0.6436687559661654
A. tenuis,T06,mmIOM,0.5
A. tenuis,T06,mmCC,0.2668504140691202
A. tenuis,T06,mmCombined,0.7668504140691201
A. tenuis,T11,mmIOM,0.375
A. tenuis,T11,mmCC,0.36700397918563626
A. tenuis,T11,mmCombined,0.7420039791856363
A. tenuis,T15,mmIOM,0.875
A. tenuis,T15,mmCC,0.45908484958846735
A. tenuis,T15,mmCombined,1.3340848495884674
A. tenuis,T01,mmIOM,1
A. tenuis,T01,mmCC,0.48881195100973696
A. tenuis,T01,mmCombined,1.4888119510097368
A. tenuis,T23,mmIOM,1
A. tenuis,T23,mmCC,0.49731551746438624
A. tenuis,T23,mmCombined,1.4973155174643862
A. tenuis,T04,mmIOM,1
A. tenuis,T04,mmCC,0.5182112656686462
A. tenuis,T04,mmCombined,1.5182112656686462
